Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
5/12/2021,Breakfast,1148.8,50.8,19.7,3.8,7.3,0.1,850.3,650.8,881.8,87.4,2,58,87,332.8,0,745.1,5.5,
5/12/2021,Lunch,32.5,0,0,0,0,0,0,130,0,13,0,0,0,0,390,0,0,
5/12/2021,Dinner,1210,74,14.5,0,0,0,105,3495,0,78,8,40,61,0,80,2,0,
5/12/2021,Snacks,580,4.5,2.2,0.5,0.4,0,150,310,1520,85.5,6,66,56.1,280,81,96,8.4,
5/19/2021,Breakfast,440,12,5,0,0,0,40,1000,2,58,2,4,23,0,0,20,20,
5/19/2021,Lunch,525,8.5,2,0.5,1.5,0,92.5,567.5,630,64.5,9,23.5,60.5,15,0,55,50,
5/19/2021,Dinner,1375.5,69,15.5,0,0,0.5,220.5,2103.8,0,146.6,6.3,44.7,47.9,0,0,0,0,
5/20/2021,Breakfast,200,0,0,0,0,0,0,90,0,6,0,2,0,0,0,0,0,
5/20/2021,Lunch,820,40,15.5,0,0,0.5,70,1760,353,92,6,18,26,0,0,16,23,
5/20/2021,Snacks,280,4,2,0,0,0,90,200,400,10,2,4,50,0,0,20,8,
5/22/2021,Lunch,1330,50.5,19.5,1.5,2.5,0,305,2585,0,128,17.5,3,94.5,6,0,19,4,
5/22/2021,Dinner,1880,85,26,0,0,0,80,5630,730,131,6,51,155,25,25,62,39,
5/22/2021,Snacks,300,4.5,0,0.5,1.5,0,5,400,230,60,8.5,22,19,15,0,40,42,
5/23/2021,Breakfast,640,7.3,2.5,0,0,0,137.5,710,810,71.5,12.5,26,85.5,25,25,79.5,69.5,
5/23/2021,Lunch,1120,61,13,0,0,0.5,50,1660,0,117,21,6,26,10,80,20,25,
5/23/2021,Dinner,377,8,2,0,0,0,0,0,0,1,1,0,71,0,0,0,0,
5/23/2021,Snacks,290,15,9,0,0,0,10,160,0,34,2,13,3,6,6,4,6,
5/24/2021,Lunch,1231,80.5,31.5,0,0,0,180,1687.5,0,76,6,10,56,0,0,0,0,
5/24/2021,Dinner,610,24.5,5.4,0,0,0,142.5,495,26,65,2.3,9.5,34.2,0,6,5,20,
5/24/2021,Snacks,480,9,3,0,0,0,60,630,1350,15,9,3,90,75,75,150,75,
5/25/2021,Breakfast,420,22,7.5,0,0,0,200,970,6,13,4,5,45,15,50,65,23,
5/25/2021,Lunch,1300,55,16.5,0,0,0,60,2970,0,164,17,12,36,0,0,0,0,
5/25/2021,Dinner,243,12.1,3,0,0,0,121.5,136.7,0,0,0,0,30.4,0,0,0,12.1,
5/25/2021,Snacks,210,2.3,1.5,0,0,0,112.5,225,300,7.5,1.5,3,37.5,0,0,19.5,4.5,
5/26/2021,Breakfast,314.6,3.3,0.6,0.1,0,0,20,181.8,194.7,44.1,7.4,31.9,30.5,20.5,58.4,60.9,15.2,
5/26/2021,Lunch,640,17,4.5,0,0,0,50,840,0,77,5,27,44,23,54,50,35,
5/26/2021,Dinner,1720,88.5,31.5,0,0,2,240,4920,310,89,16,18,150,65,150,180,83,
5/26/2021,Snacks,1476,44.7,7.1,0,0,0,20,1471,0,200,3,125,66.8,15,50,50,15,
5/27/2021,Breakfast,758.5,47.7,18.9,1.9,3.7,0,432,1640.9,138,46.3,4,0.4,32.3,160,0,56,1.8,
5/27/2021,Lunch,890,42,7.5,0,0,0,0,3765,0,60,0,33,72,0,80,2,0,
5/27/2021,Dinner,940,30,12,2,11,0,100,1650,0,78,9,9,94,40,100,150,50,
5/27/2021,Snacks,330,6,1,0,0,0,40,465,0,12,6,2,60,30,100,102,30,
5/28/2021,Breakfast,270,3,0.5,0,0,0,25,245,210,15,6,6,45,15,50,65,15,
5/28/2021,Lunch,720,35.5,10,0,0,0,230,1920,610,39.5,1,14,58,0,0,26,14,
5/28/2021,Dinner,930,28,9.5,4,11,0.5,135,2490,0,83,5,7,91,21,50,90,45,
5/28/2021,Snacks,73,1.4,1.4,0,0,0,0,105,0,14.4,0,9.4,0.3,0,0,2,0,
5/29/2021,Breakfast,511.9,19.5,5.8,0.3,1.7,0,63.3,1207,53.1,38.5,4.2,1,44.3,15,50,50,15,
5/29/2021,Lunch,1260,40,16,2,0,1.5,120,2280,0,134,8,62,96,30,100,180,30,
5/29/2021,Dinner,1058.5,61.3,16.4,0,0,0,140.6,1708.4,0,69,3,4,57.4,10,0,4,24.3,
5/29/2021,Snacks,1300,35.5,7,0.5,1.5,0,230,1480,724,88.5,22.5,28,179,75,200,256,110,
5/30/2021,Breakfast,718.1,48.8,17.9,1.3,2.4,0,358.7,677.7,91.8,27.5,0,0.2,40.7,114.4,0,39.2,13.7,
5/30/2021,Lunch,590,12,2.5,1.5,1,0,45,1295,370,65,6,7,54,15,50,54,36,
5/30/2021,Dinner,880,34.5,16,0,0,0,305,1685,0,60,12.5,2,85.5,6,0,17,0,
5/30/2021,Snacks,241,3.5,1,0,0,0,20,180,0,24.1,4,18.1,30,15,70,50,15,
5/31/2021,Breakfast,320,6,1,0,0,0,40,360,0,10,6,2,60,30,100,100,30,
5/31/2021,Lunch,1440,51.5,12.3,0,1.5,0,305,2515,618,159.5,6,110.5,93,130,13,37,24,
5/31/2021,Dinner,890,42,7.5,0,0,0,0,3765,0,60,0,33,72,0,80,2,0,
5/31/2021,Snacks,320,6,1,0,0,0,40,360,0,10,6,2,60,30,100,100,30,
6/1/2021,Breakfast,165,0,0,0,0,0,7.5,97.5,0,16.5,4.5,7.5,25.5,0,0,15,0,
6/1/2021,Lunch,590,21.5,5.5,0,0,0,135,1300,330,39,4,11,61,15,50,66,25,
6/1/2021,Snacks,160,3,0.5,0,0,0,20,180,0,5,3,1,30,15,50,50,15,
6/2/2021,Breakfast,170,3,0.5,0,0,0,20,285,0,7,3,1,30,15,50,52,15,
6/2/2021,Lunch,620,25,10.5,0,0,0.5,80,1100,0,47,5,11,50,35,70,65,35,
6/2/2021,Dinner,1600,91,30,0,0,1,135,2640,0,134,10,8,70,0,0,0,0,
6/2/2021,Snacks,320,6,1,0,0,0,40,360,0,10,6,2,60,30,100,100,30,
6/3/2021,Breakfast,570,7,2.5,0,0,0,35,885,0,70,8,11,60,15,50,60,15,
6/3/2021,Lunch,1030,55,9.5,0,0,0,10,3935,0,66,0,39,72,0,80,2,0,
6/3/2021,Dinner,484.1,13.6,3.1,0,1.5,0.1,62.8,1379.9,212,58.3,2.5,4.3,28.3,2,0,11,20.8,
6/3/2021,Snacks,320,6,1,0,0,0,40,360,0,10,6,2,60,30,100,100,30,
6/4/2021,Breakfast,160,3,0.5,0,0,0,20,180,0,5,3,1,30,15,50,50,15,
6/4/2021,Lunch,583.3,22,2.8,7,3.5,0,146.7,2220,0,26,3,5.7,67.3,15,50,50,15,
6/4/2021,Dinner,976.7,43.5,8.7,8.5,4.5,0,252.3,4150,340,68,1,18.3,75.7,16,8,16,14,
6/4/2021,Snacks,320,6,1,0,0,0,40,360,0,10,6,2,60,30,100,100,30,
6/5/2021,Breakfast,192.5,0,0,0,0,0,8.8,113.8,0,19.3,5.3,8.8,29.8,0,0,17.5,0,
6/5/2021,Lunch,513.3,23,2.8,8.5,4.2,0,141.7,2700,0,28.5,0,5.7,45.3,12,6,0,0,
6/5/2021,Dinner,1170,36.5,15.5,4,16.5,0.3,117.5,2945,638,144,8,37,64.5,13,80,70,35,
6/5/2021,Snacks,530,6,1,0,0,0,40,580,317,42,10,18,80,30,100,100,30,
6/6/2021,Breakfast,524,0,0,0,0,0,17,221,129,75.9,12.2,49,57.8,0,0,34,0,
6/6/2021,Lunch,781.4,39.7,11,0.3,1.9,0,120,3993.3,760.2,51.8,3.1,0.1,57.1,21.3,12.7,189.3,9.1,
6/6/2021,Dinner,1850,82.5,21,15,7.5,0,560,7445,0,112,14,13,166.5,28,12,0,4,
6/6/2021,Snacks,80,0,0,0,0,0,0,210,129,17,2,8,0,0,0,4,0,
6/7/2021,Lunch,455,19.4,10.1,0,0,0,0,855,0,43.4,8.3,7.9,22.5,0,0,0,0,
6/7/2021,Dinner,1180,44.5,17,0,0,0,305,2375,0,106,15.5,2,92.5,6,0,17,0,
6/7/2021,Snacks,540,6,1,0,0,0,40,685,258,45,10,18,80,30,100,102,30,
6/8/2021,Breakfast,940,39,14.5,0,0,0,115,1980,0,67,8,9,86,38,100,112,58,
6/8/2021,Lunch,1940,117,37.5,0,0,2.5,277.5,6165,0,129,10,16,93,0,0,0,0,
6/8/2021,Dinner,160,3,0.5,0,0,0,20,180,0,5,3,1,30,15,50,50,15,
6/9/2021,Breakfast,315,14,5,1,5,0,59.5,315,285,40.5,9,18,17,0,0,17,8,
6/9/2021,Lunch,1113.3,51,12.3,10,5,0,211.7,6210,0,98,6,9.7,62.3,32,16,6,18,
6/9/2021,Dinner,408.3,11.2,6,0,0,0,105.8,947.5,361.7,40,4,2,34,0,0,4,16.7,
6/9/2021,Snacks,490,9,1.5,0,0,0,60,765,0,17,9,3,90,45,150,152,45,
6/10/2021,Breakfast,315,0.5,0,0.2,0.1,0,11.9,179.3,749.1,39.3,10.2,22.8,41.3,2.1,72.7,56.4,0.6,
6/10/2021,Lunch,465.3,21.2,2.5,7.6,3.8,0,126.7,2538,0,25.8,0,5.1,40.5,12,6,0,0,
6/10/2021,Dinner,1020,47,20,0,0,0.5,105,2480,0,102,12,8,46,0,0,0,0,
6/10/2021,Snacks,485,11,3.5,0,0,0,97.5,555,190,39,11,14.5,69.5,30,100,115,33,
6/11/2021,Breakfast,263,0.3,0,0.2,0,0,10.5,158.5,636,30.8,8.3,17.5,36.4,1,58.8,47.5,0.4,
6/11/2021,Lunch,570,25,10.5,0,0,0.5,75,1130,243,47,5,9,45,15,50,60,30,
6/11/2021,Dinner,737.5,31,14.5,0,0,0,98.8,1387.5,0,57.5,8.3,8,59.8,32.5,64,85,29,
6/11/2021,Snacks,340,6,1,0,0,0,40,630,0,14,6,2,60,30,100,104,30,
6/12/2021,Breakfast,570,25,10.5,0,0,0.5,75,1130,243,47,5,9,45,15,50,60,30,
6/12/2021,Lunch,1180,50,20.5,0,0,0.5,125,2660,0,107,15,9,76,15,50,50,15,
6/12/2021,Dinner,523,20.6,9.3,0,0,0,69.5,939,0,38,6.3,5.4,48.7,26,58.8,72,23.8,
6/12/2021,Snacks,320,6,1,0,0,0,40,360,0,10,6,2,60,30,100,100,30,
6/13/2021,Breakfast,780,25,9,4,11,0.5,115,2415,0,80,2,6,61,6,0,42,30,
6/13/2021,Lunch,470,15,6,1,5.5,0,50,825,0,39,4.5,4.5,47,20,50,75,25,
6/13/2021,Dinner,633.3,21.5,8.6,0.7,0,0,114,2069.7,486.7,50.4,8.7,5.6,51.6,19,9.6,28.7,29.4,
6/13/2021,Snacks,160,3,0.5,0,0,0,20,180,0,5,3,1,30,15,50,50,15,
6/14/2021,Breakfast,223,13.5,5.1,1.9,3.7,0,392,782,138,6.7,0,4.4,18.6,160,0,76,1.8,
6/14/2021,Snacks,140,10,7,0,0,0,30,320,0,0,0,0,10,0,0,20,0,
6/15/2021,Breakfast,420,13,7.5,0,0,0,50,500,258,31,7,17,40,15,50,70,15,
6/15/2021,Lunch,850,46,19,0,0,0.5,125,1530,0,63,9,5,43,0,0,0,0,
6/15/2021,Dinner,880,34.5,16,0,0,0,305,1685,0,60,12.5,2,85.5,6,0,17,0,
6/15/2021,Snacks,588.4,3,0.5,0,0,0,20,240,0,5,3,1,30,15,50,50,15,
6/16/2021,Breakfast,392.6,12.9,5.6,0,0,0,26.5,705.2,0,61.6,3,13.6,10.6,10.6,0,5.3,0,
6/16/2021,Lunch,573.3,21,2.8,7,3.5,0,136.7,2220,0,28,3,5.7,67.3,23,54,50,15,
6/16/2021,Dinner,770,25,9,4,11,0.5,115,2310,0,78,2,6,61,6,0,40,30,
6/16/2021,Snacks,570,15,6,1,5.5,0,50,825,240,63,4.5,26.5,48,30,150,77,29,
6/17/2021,Breakfast,310,12,5.5,1,5.5,0,30,645,0,34,1.5,3.5,17,5,0,25,10,
6/17/2021,Lunch,1135.1,46.9,17.3,0.9,6,0,205.9,1949.8,1240.2,77.8,11,21.2,93.8,35.3,66.3,120.2,54.1,
6/20/2021,Breakfast,320,6,1,0,0,0,40,360,0,10,6,2,60,30,100,100,30,
6/20/2021,Lunch,1477.4,66.6,25.5,1.4,9.1,0,281.7,2681.5,1879.2,110.3,12.2,30.6,96.7,30.7,24.8,106.3,59.2,
6/23/2021,Breakfast,340,8,3.5,0,0,0,50,350,0,37,3,11,36,15,50,50,23,
6/23/2021,Lunch,1140,32.5,12.5,2.5,12.5,0,85,2040,230,131,10.5,30,84,40,50,150,77,
6/23/2021,Dinner,835.9,37,15.1,0.2,1.6,0.5,125.7,1612.7,581.2,66.9,7.2,14.5,62.4,20.5,54.5,79.1,40.7,
6/23/2021,Snacks,440,13,1.5,0,0,0,40,860,80,15,5,1,68,15,50,80,19,
6/24/2021,Breakfast,1060,36.5,12,0,0,0,280,2175,0,102,15,1,86.5,0,0,0,0,
6/24/2021,Lunch,440,16,9,0,0,0,50,920,0,58,2,9,17,16,0,8,0,
6/24/2021,Dinner,545,15.5,5,2,5.5,0.3,77.5,1335,0,44,4,4,60.5,18,50,70,30,
6/24/2021,Snacks,160,3,0.5,0,0,0,20,180,0,5,3,1,30,15,50,50,15,
6/25/2021,Breakfast,545,15.5,5,2,5.5,0.3,77.5,1335,0,44,4,4,60.5,18,50,70,30,
6/25/2021,Lunch,1180,50,20.5,0,0,0.5,125,2660,0,107,15,9,76,15,50,50,15,
6/25/2021,Dinner,968,69,29.5,0,0,0,180,1422,0,40,2,9,52,0,0,0,0,
6/25/2021,Snacks,280,3,0.5,0,0,0,20,180,258,31,7,17,30,15,50,50,15,
6/26/2021,Breakfast,655,3,0.5,0,0,0,20,265,360,126.5,2,82,30,25,25,50,10,
6/26/2021,Lunch,1386.7,56.5,15.9,14.7,7.4,0,315.8,4085,973,90.2,5,17.8,126.7,25,25,75,40,
